Sample	Mut_Rate	Fitness	Nodes	Leaves	Tree_Score
Clonal_evolution_1022606.dat	0.000003000000	0.007000000000	1	1	0.000000
Clonal_evolution_10231862.dat	0.000080000000	0.000800000000	10	7	0.777778
Clonal_evolution_10231977.dat	0.000300000000	0.010000000000	5	3	0.583333
Clonal_evolution_10233272.dat	0.000000900000	0.007000000000	1	1	0.000000
Clonal_evolution_10233589.dat	0.000600000000	0.100000000000	3	2	0.500000
Clonal_evolution_10236290.dat	0.000000300000	0.010000000000	1	1	0.000000
Clonal_evolution_10236329.dat	0.000050000000	0.002000000000	5	4	0.750000
Clonal_evolution_1023833.dat	0.000008000000	0.000500000000	2	1	0.000000
Clonal_evolution_10239721.dat	0.000030000000	0.005000	3	2	0.500000
Clonal_evolution_10243377.dat	0.000020000000	0.005000000000	3	2	0.500000
Clonal_evolution_10253400.dat	0.000009000000	0.001000000000	4	3	0.666667
Clonal_evolution_10253560.dat	0.000010000000	0.002000000000	3	2	0.500000
Clonal_evolution_1025566.dat	0.000030000000	0.050000000000	1	1	0.000000
Clonal_evolution_10257334.dat	0.000060000000	0.000600000000	6	4	0.600000
Clonal_evolution_10258133.dat	0.000000600000	0.500000000000	1	1	0.000000
Clonal_evolution_10259068.dat	0.000030000000	0.003000000000	3	2	0.500000
Clonal_evolution_10260423.dat	0.000000800000	0.001000000000	1	1	0.000000
Clonal_evolution_10268447.dat	0.000030000000	0.007000000000	5	4	0.750000
Clonal_evolution_10270178.dat	0.000005000000	0.500000000000	1	1	0.000000
Clonal_evolution_10271797.dat	0.000000900000	0.000800000000	1	1	0.000000
Clonal_evolution_10272401.dat	0.000002000000	0.001000000000	1	1	0.000000
Clonal_evolution_10272727.dat	0.000080000000	0.000600000000	7	4	0.583333
Clonal_evolution_10273277.dat	0.000000500000	0.000200000000	1	1	0.000000
Clonal_evolution_10275675.dat	0.000004000000	0.000300000000	4	3	0.666667
Clonal_evolution_10276585.dat	0.000000800000	0.000500000000	1	1	0.000000
Clonal_evolution_10276941.dat	0.000500000000	0.000900000000	7	5	0.800000
Clonal_evolution_102779.dat	0.000010000000	0.000500000000	3	2	0.500000
Clonal_evolution_10280608.dat	0.000020000000	0.010000000000	1	1	0.000000
Clonal_evolution_10281630.dat	0.000000800000	0.000500000000	1	1	0.000000
Clonal_evolution_10282200.dat	0.000020000000	0.002000000000	2	1	0.000000
Clonal_evolution_10284196.dat	0.000006000000	0.005000000000	2	1	0.000000
Clonal_evolution_10284681.dat	0.000003000000	0.000100000000	4	3	0.666667
Clonal_evolution_10285901.dat	0.000000700000	0.000900000000	1	1	0.000000
Clonal_evolution_10289557.dat	0.000007000000	0.000100000000	8	6	0.761905
Clonal_evolution_10289768.dat	0.000030000000	0.005000000000	2	1	0.000000
Clonal_evolution_10290385.dat	0.000010000000	0.000600000000	2	1	0.000000
Clonal_evolution_10290877.dat	0.000060000000	0.000900	9	6	0.791667
Clonal_evolution_1029713.dat	0.000070000000	0.000800000000	10	8	0.861111
Clonal_evolution_10302782.dat	0.000010	0.003000	1	1	0.000000
Clonal_evolution_10304039.dat	0.000000700000	0.000400000000	1	1	0.000000
Clonal_evolution_10308128.dat	0.000002000000	0.005000000000	1	1	0.000000
Clonal_evolution_10311632.dat	0.000002000000	0.000800000000	1	1	0.000000
Clonal_evolution_10315392.dat	0.000000200000	0.000100000000	1	1	0.000000
Clonal_evolution_10319381.dat	0.000000400000	0.010000000000	1	1	0.000000
Clonal_evolution_10322732.dat	0.000000400000	0.500000000000	1	1	0.000000
Clonal_evolution_10323065.dat	0.000000400000	0.000500000000	1	1	0.000000
Clonal_evolution_10324346.dat	0.000010000000	0.000900000000	4	3	0.666667
Clonal_evolution_10324828.dat	0.000000900000	0.007000000000	1	1	0.000000
Clonal_evolution_10327434.dat	0.000001000000	0.000100000000	1	1	0.000000
Clonal_evolution_10341603.dat	0.000070000000	0.100000000000	2	1	0.000000
Clonal_evolution_10342685.dat	0.000000200000	0.900000000000	1	1	0.000000
Clonal_evolution_10345031.dat	0.000008000000	0.900000000000	1	1	0.000000
Clonal_evolution_10346234.dat	0.000000100000	0.002000000000	1	1	0.000000
Clonal_evolution_10352143.dat	0.000700000000	0.006000000000	9	6	0.750000
Clonal_evolution_103552.dat	0.000000900000	0.500000000000	1	1	0.000000
Clonal_evolution_1035770.dat	0.000001000000	0.003000000000	1	1	0.000000
Clonal_evolution_10363737.dat	0.000300000000	0.000500000000	7	3	0.555556
Clonal_evolution_10366971.dat	0.000008000000	0.000300000000	4	3	0.666667
Clonal_evolution_10368077.dat	0.000001000000	0.006000000000	1	1	0.000000
Clonal_evolution_10368851.dat	0.000060000000	0.000500000000	8	4	0.750000
Clonal_evolution_10369329.dat	0.000300000000	0.000400000000	7	3	0.666667
Clonal_evolution_10369737.dat	0.000000100000	0.010000000000	1	1	0.000000
Clonal_evolution_10372688.dat	0.000200000000	0.004000000000	5	4	0.750000
Clonal_evolution_10373087.dat	0.000000100000	0.000500000000	1	1	0.000000
Clonal_evolution_10373485.dat	0.000030000000	0.000600000000	7	5	0.800000
Clonal_evolution_1037391.dat	0.000040000000	0.005000000000	6	5	0.800000
Clonal_evolution_10375757.dat	0.000007000000	0.000600000000	3	2	0.500000
Clonal_evolution_10376843.dat	0.000004000000	0.002000000000	1	1	0.000000
Clonal_evolution_10386527.dat	0.000000800000	0.000900000000	1	1	0.000000
Clonal_evolution_10387824.dat	0.000060000000	0.007000000000	2	1	0.000000
Clonal_evolution_10391989.dat	0.000005000000	0.010000000000	2	1	0.000000
Clonal_evolution_10393346.dat	0.000020000000	0.000300000000	9	5	0.700000
Clonal_evolution_10398805.dat	0.000004000000	0.001000000000	1	1	0.000000
Clonal_evolution_10403909.dat	0.000090000000	0.100000000000	1	1	0.000000
Clonal_evolution_10405308.dat	0.000500000000	0.000600000000	3	2	0.500000
Clonal_evolution_10405941.dat	0.000040	0.006000	3	2	0.500000
Clonal_evolution_10407278.dat	0.000080000000	0.500000000000	1	1	0.000000
Clonal_evolution_10412540.dat	0.000020000000	0.002000000000	2	1	0.000000
Clonal_evolution_10414495.dat	0.000000800000	0.000100000000	1	1	0.000000
Clonal_evolution_10414616.dat	0.000000500000	0.000400000000	1	1	0.000000
Clonal_evolution_10414848.dat	0.000002000000	0.500000000000	1	1	0.000000
Clonal_evolution_10418460.dat	0.000070000000	0.100000000000	2	1	0.000000
Clonal_evolution_10419975.dat	0.000009000000	0.006000000000	1	1	0.000000
Clonal_evolution_10422362.dat	0.000005000000	0.900000000000	1	1	0.000000
Clonal_evolution_10425792.dat	0.000010000000	0.000500000000	2	1	0.000000
Clonal_evolution_1042877.dat	0.000003000000	0.007000000000	1	1	0.000000
